"logRe_J" "logIe_J" "logsigma" "elogRe_J" "elogIe_J" "elogsigma"
0.585 2.876 2.256 0.032 0.048 0.03
0.361 3.036 2.209 0.044 0.066 0.048
0.215 2.973 2.254 0.047 0.07 0.055
0.529 2.714 2.15 0.032 0.048 0.031
0.101 3.438 2.275 0.059 0.087 0.043
0.303 3.205 2.341 0.032 0.048 0.02
0.303 3.244 2.311 0.057 0.084 0.04
0.425 3.049 2.273 0.038 0.056 0.047
0.306 3.18 2.25 0.046 0.068 0.039
0.413 3.088 2.344 0.054 0.08 0.031
-0.074 3.556 2.244 0.042 0.062 0.031
0.615 2.565 2.21 0.048 0.071 0.063
0.589 2.957 2.303 0.034 0.051 0.037
0.412 3.111 2.352 0.046 0.068 0.03
-0.04 3.55 2.334 0.061 0.09 0.049
0.192 3.286 2.236 0.047 0.069 0.074
0.429 2.961 2.229 0.059 0.087 0.093
0.302 3.03 2.173 0.032 0.048 0.034
0.005 3.49 2.354 0.059 0.088 0.044
0.308 3.183 2.378 0.055 0.081 0.044
0.196 3.297 2.167 0.052 0.077 0.075
-0.165 3.47 2.225 0.055 0.081 0.131
0.159 3.308 2.191 0.063 0.093 0.065
0.09 3.212 2.088 0.036 0.054 0.055
0.299 2.995 2.237 0.058 0.086 0.053
0.255 2.96 2.24 0.057 0.085 0.081
0.166 3.291 2.278 0.032 0.048 0.033
0.36 3.083 2.352 0.059 0.087 0.053
0.662 2.967 2.413 0.032 0.048 0.017
-0.006 3.487 2.117 0.064 0.094 0.08
0.31 3.282 2.318 0.039 0.058 0.024
0.219 3.234 2.273 0.064 0.094 0.051
0.446 2.907 2.192 0.059 0.087 0.051
0.357 3.059 2.314 0.056 0.084 0.041
-0.12 3.525 2.132 0.061 0.091 0.094
0.123 3.528 2.392 0.032 0.048 0.029
-0.297 3.651 2.254 0.059 0.088 0.035
0.399 3.102 2.331 0.055 0.082 0.056
0.402 2.933 2.212 0.032 0.048 0.024
0.207 3.279 2.154 0.032 0.048 0.028
0.285 3.425 2.472 0.051 0.075 0.066
0.362 3.128 2.295 0.056 0.084 0.053
0.394 2.951 2.195 0.052 0.077 0.067
0.247 3.304 2.304 0.059 0.088 0.045
0.386 3.248 2.295 0.04 0.059 0.043
0.443 3.015 2.218 0.054 0.081 0.068
-0.007 3.422 2.139 0.032 0.048 0.025
0.563 3.106 2.364 0.041 0.061 0.071
0.44 2.863 2.153 0.06 0.09 0.081
0.149 3.273 2.183 0.032 0.048 0.024
0.057 3.223 2.158 0.032 0.048 0.027
0.308 3.036 2.243 0.064 0.095 0.066
0.046 3.445 2.163 0.054 0.08 0.076
0.118 3.263 2.195 0.032 0.048 0.02
0.282 3.305 2.334 0.052 0.077 0.047
-0.09 3.545 2.243 0.057 0.084 0.039
0.373 2.965 2.173 0.063 0.093 0.097
-0.072 3.713 2.445 0.032 0.048 0.027
0.361 3.15 2.316 0.032 0.048 0.021
-0.061 3.532 2.333 0.039 0.058 0.026
0.827 2.673 2.258 0.038 0.056 0.047
0.172 3.327 2.337 0.032 0.048 0.012
0.355 2.897 2.411 0.049 0.073 0.052
0.195 3.115 2.077 0.043 0.064 0.047
0.195 3.181 2.282 0.05 0.074 0.053
-0.111 3.48 2.267 0.058 0.086 0.054
0.362 3.003 2.209 0.047 0.07 0.075
0.115 3.293 2.169 0.046 0.068 0.037
0.242 3.225 2.203 0.033 0.049 0.03
0.359 3.113 2.327 0.058 0.086 0.065
0.565 2.713 2.074 0.039 0.057 0.067
0.25 3.163 2.242 0.046 0.069 0.027
0.335 3.058 2.248 0.032 0.048 0.022
0.24 3.104 2.119 0.051 0.076 0.076
0.192 3.174 2.218 0.062 0.092 0.065
0.449 3.022 2.281 0.054 0.08 0.052
0.305 3.318 2.416 0.054 0.08 0.031
0.484 2.92 2.304 0.054 0.08 0.035
0.692 2.877 2.28 0.036 0.053 0.031
0.262 3.312 2.252 0.057 0.085 0.044
0.148 3.25 2.184 0.048 0.072 0.045
0.412 3.187 2.347 0.032 0.048 0.021
0.4 2.986 2.136 0.059 0.087 0.081
0.269 3.549 2.269 0.047 0.07 0.024
-0.002 3.681 2.458 0.058 0.086 0.05
0.353 2.903 2.053 0.039 0.057 0.087
0.488 2.775 2.106 0.032 0.048 0.038
0.522 2.56 2.157 0.056 0.084 0.121
-0.104 3.431 2.221 0.045 0.067 0.024
0.186 3.459 2.339 0.032 0.048 0.053
0.382 3.264 2.295 0.051 0.075 0.051
0.126 3.313 2.416 0.054 0.081 0.055
0.665 2.93 2.31 0.032 0.048 0.028
0.345 3.266 2.292 0.048 0.072 0.023
0.197 3.277 2.108 0.063 0.093 0.082
0.312 2.911 2.152 0.037 0.054 0.04
-0.002 3.429 2.212 0.057 0.084 0.062
0.228 3.248 2.27 0.062 0.092 0.086
0.465 2.717 2.13 0.032 0.048 0.037
0.516 2.93 2.282 0.052 0.077 0.044
0.466 3.192 2.33 0.046 0.068 0.03
0.161 3.416 2.379 0.032 0.048 0.018
0.248 3.247 2.239 0.062 0.091 0.056
0.37 3.22 2.297 0.052 0.077 0.042
0.339 3.167 2.293 0.057 0.084 0.031
0.096 3.42 2.281 0.06 0.089 0.08
0.125 3.456 2.2 0.057 0.084 0.058
0.373 2.973 2.288 0.061 0.09 0.045
-0.221 3.367 2.123 0.057 0.084 0.04
0.173 3.343 2.273 0.057 0.085 0.036
0.195 3.115 2.15 0.047 0.069 0.081
0.259 3.265 2.27 0.059 0.088 0.045
0.181 3.229 2.224 0.043 0.064 0.037
-0.083 3.579 2.323 0.051 0.076 0.026
0.324 3.198 2.361 0.033 0.049 0.029
0.166 3.41 2.164 0.062 0.091 0.081
0.335 2.977 2.287 0.059 0.088 0.059
0.598 2.715 2.269 0.05 0.074 0.077
0.271 2.973 2.372 0.064 0.095 0.085
0.349 3.14 2.365 0.058 0.087 0.059
0.439 3.009 2.334 0.056 0.082 0.068
0.448 3.298 2.413 0.032 0.048 0.026
0.367 2.858 2.2 0.051 0.075 0.065
-0.026 3.439 2.156 0.052 0.077 0.048
0.664 2.684 2.096 0.051 0.076 0.072
-0.047 3.408 2.194 0.062 0.092 0.041
-0.024 3.403 2.088 0.055 0.082 0.127
0.534 2.709 2.247 0.059 0.088 0.074
0.059 3.533 2.298 0.032 0.048 0.016
-0.009 3.346 2.077 0.038 0.056 0.039
0.582 2.946 2.277 0.046 0.068 0.031
0.531 3.033 2.421 0.047 0.07 0.029
0.257 2.951 2.077 0.035 0.051 0.064
0.202 3.247 2.267 0.042 0.062 0.026
0.389 2.987 2.298 0.061 0.09 0.067
0.333 3.414 2.465 0.032 0.048 0.013
0.244 2.855 2.105 0.039 0.058 0.094
0.532 2.966 2.33 0.046 0.068 0.051
0.598 2.583 2.27 0.046 0.068 0.046
0.264 2.998 2.073 0.056 0.083 0.111
0.184 3.489 2.208 0.032 0.048 0.044
0.371 3.123 2.309 0.032 0.048 0.05
0.263 3.352 2.28 0.055 0.081 0.045
0.209 3.292 2.382 0.048 0.072 0.045
0.704 2.75 2.118 0.032 0.048 0.05
0.662 2.796 2.245 0.047 0.069 0.095
0.497 3.013 2.38 0.051 0.076 0.063
0.245 2.897 2.054 0.061 0.09 0.126
0.12 3.491 2.34 0.044 0.065 0.03
0.382 3.477 2.355 0.041 0.061 0.023
0.695 2.601 2.198 0.049 0.073 0.113
0.263 3.253 2.258 0.057 0.084 0.043
0.692 2.566 2.086 0.052 0.077 0.136
0.091 3.302 2.312 0.048 0.071 0.048
-0.192 3.407 2.262 0.06 0.089 0.155
0.1 3.198 2.256 0.051 0.076 0.049
0.505 2.81 2.14 0.053 0.079 0.074
0.12 3.571 2.24 0.056 0.082 0.039
0.41 3.101 2.357 0.051 0.076 0.026
0.356 3.079 2.238 0.06 0.088 0.061
0.383 3.195 2.396 0.05 0.074 0.047
0.109 3.529 2.391 0.06 0.089 0.041
0.205 3.048 2.127 0.048 0.071 0.064
0.094 3.44 2.326 0.032 0.048 0.021
