"logRe_J" "logIe_J" "logsigma" "elogRe_J" "elogIe_J" "elogsigma"
0.328 3.14 2.32 0.059 0.088 0.052
0.489 3.261 2.363 0.038 0.056 0.024
0.482 3.177 2.391 0.036 0.053 0.03
0.187 3.279 2.283 0.059 0.088 0.1
0.223 3.33 2.051 0.057 0.084 0.103
0.121 3.408 2.202 0.034 0.05 0.031
0.394 3.071 2.2 0.049 0.073 0.046
0.464 3.138 2.43 0.039 0.058 0.035
0.277 2.838 2.111 0.059 0.088 0.14
0.248 3.233 2.321 0.049 0.072 0.033
0.137 3.221 2.132 0.062 0.092 0.083
0.04 3.462 2.252 0.06 0.089 0.061
-0.372 3.691 2.264 0.043 0.063 0.034
0.609 2.705 2.117 0.034 0.051 0.115
0.641 2.998 2.449 0.032 0.048 0.04
0.459 2.941 2.259 0.048 0.071 0.07
0.105 3.413 2.328 0.059 0.088 0.048
0.583 2.482 2.107 0.056 0.084 0.126
0.426 3.26 2.336 0.035 0.051 0.03
0.281 3.084 2.215 0.032 0.048 0.023
0.23 3.367 2.224 0.055 0.081 0.068
0.338 3.004 2.159 0.061 0.09 0.096
-0.012 3.438 2.201 0.058 0.086 0.062
0.149 3.219 2.164 0.032 0.048 0.03
0.521 3.027 2.409 0.048 0.071 0.041
0.276 2.969 2.142 0.04 0.059 0.053
0.015 3.624 2.144 0.061 0.09 0.072
0.544 2.642 2.123 0.032 0.048 0.065
0.148 3.221 2.054 0.051 0.076 0.089
0.453 2.972 2.139 0.052 0.076 0.061
-0.06 3.648 2.416 0.063 0.094 0.04
0.38 3.121 2.21 0.053 0.078 0.077
0.134 3.453 2.411 0.046 0.068 0.044
0.697 2.422 2.189 0.04 0.059 0.114
0.139 3.214 2.188 0.042 0.062 0.079
0.43 3.074 2.3 0.032 0.048 0.018
0.223 3.192 2.124 0.057 0.085 0.137
0.574 2.902 2.285 0.041 0.06 0.043
0.26 3.494 2.399 0.032 0.048 0.068
0.034 3.793 2.271 0.032 0.048 0.01
0.121 3.55 2.458 0.056 0.083 0.042
0.378 2.946 2.12 0.06 0.088 0.064
0.039 3.309 2.088 0.057 0.085 0.063
0.283 3.156 2.28 0.034 0.05 0.024
0.513 3.175 2.427 0.035 0.051 0.044
0.228 3.322 2.362 0.052 0.077 0.063
0.46 3.041 2.267 0.042 0.063 0.052
0.692 2.7 2.41 0.042 0.062 0.032
0.364 3.013 2.141 0.056 0.083 0.109
0.173 3.393 2.38 0.051 0.076 0.028
0.169 3.323 2.19 0.06 0.089 0.073
0.404 3.13 2.356 0.043 0.064 0.039
0.331 3.047 2.209 0.059 0.088 0.059
0.353 3.018 2.286 0.054 0.08 0.05
0.121 3.424 2.154 0.042 0.063 0.069
0.164 3.39 2.225 0.032 0.048 0.054
0.554 2.679 2.195 0.053 0.079 0.078
0.426 3.027 2.264 0.051 0.076 0.048
0.525 2.639 2.159 0.048 0.071 0.089
0.248 3.336 2.279 0.032 0.048 0.014
0.537 2.705 2.26 0.057 0.084 0.067
0.347 3.149 2.328 0.042 0.062 0.045
0.178 3.44 2.266 0.044 0.065 0.029
0.554 3.143 2.493 0.032 0.048 0.038
0.119 3.344 2.317 0.056 0.083 0.056
0.434 2.917 2.134 0.044 0.065 0.064
0.23 3.192 2.285 0.049 0.073 0.053
0.712 2.758 2.207 0.032 0.048 0.038
0.136 3.272 2.158 0.049 0.073 0.072
0.385 3.163 2.384 0.032 0.048 0.016
0.359 3.252 2.415 0.042 0.062 0.026
0.125 3.288 2.288 0.05 0.074 0.034
0.368 2.878 2.162 0.057 0.085 0.107
0.059 3.225 2.053 0.055 0.081 0.099
0.46 3.017 2.317 0.042 0.062 0.032
0.354 3.178 2.141 0.047 0.07 0.09
0.62 2.779 2.273 0.032 0.048 0.031
0.125 3.211 2.142 0.048 0.07 0.062
0.455 2.956 2.235 0.047 0.069 0.058
0.022 3.556 2.273 0.042 0.062 0.03
0.402 3.274 2.41 0.04 0.06 0.027
0.369 3.103 2.277 0.053 0.079 0.046
0.534 3.258 2.406 0.032 0.048 0.018
0.501 3.12 2.326 0.032 0.048 0.017
0.156 3.121 2.133 0.055 0.081 0.056
0.116 3.287 2.177 0.051 0.076 0.053
0.021 3.424 2.26 0.053 0.079 0.06
0.415 3.178 2.213 0.039 0.058 0.066
0.041 3.331 2.066 0.032 0.048 0.042
0.312 3.276 2.341 0.049 0.073 0.075
0.192 3.333 2.348 0.045 0.067 0.038
0.054 3.069 2.147 0.059 0.088 0.06
0.589 2.834 2.304 0.046 0.068 0.049
0.33 3.327 2.361 0.034 0.051 0.018
0.246 3.418 2.285 0.035 0.052 0.024
0.563 2.916 2.471 0.05 0.073 0.048
0.29 3.064 2.084 0.044 0.065 0.1
0.104 3.462 2.087 0.059 0.088 0.135
0.118 3.219 2.076 0.054 0.08 0.078
0.315 2.804 2.074 0.057 0.085 0.069
0.28 3.174 2.247 0.06 0.089 0.049
0.214 3.263 2.155 0.064 0.095 0.064
0.082 3.415 2.257 0.032 0.048 0.016
0.103 3.366 2.256 0.062 0.092 0.098
0.175 3.306 2.244 0.063 0.094 0.091
0.606 2.749 2.227 0.051 0.075 0.06
0.422 3.026 2.159 0.048 0.071 0.054
0.191 3.196 2.118 0.043 0.064 0.063
0.393 3.029 2.293 0.047 0.07 0.067
-0.14 3.559 2.214 0.064 0.094 0.067
0.02 3.262 2.16 0.055 0.081 0.074
0.327 2.906 2.193 0.045 0.066 0.074
0.432 2.622 2.066 0.048 0.07 0.124
0.212 3.154 2.123 0.061 0.09 0.088
0.833 2.787 2.409 0.032 0.048 0.025
0.22 3.219 2.209 0.064 0.095 0.073
0.655 2.522 2.085 0.044 0.064 0.141
0.317 3.189 2.335 0.045 0.066 0.036
0.62 3.039 2.321 0.032 0.048 0.036
0.24 3.161 2.444 0.058 0.086 0.081
0.783 2.757 2.385 0.032 0.048 0.027
0.011 3.361 2.168 0.064 0.094 0.096
0.165 3.134 2.139 0.06 0.088 0.087
0.369 3.133 2.116 0.048 0.071 0.046
0.101 3.493 2.353 0.057 0.085 0.064
0.011 3.453 2.208 0.032 0.048 0.028
0.433 2.77 2.18 0.061 0.09 0.042
0.304 3.049 2.235 0.053 0.079 0.068
0.836 2.582 2.379 0.033 0.049 0.024
0.648 2.817 2.143 0.043 0.063 0.092
0.052 3.333 2.07 0.06 0.089 0.071
0.296 3.232 2.289 0.046 0.069 0.03
0.371 2.981 2.23 0.05 0.074 0.054
0.143 3.599 2.281 0.049 0.072 0.034
-0.158 3.971 2.272 0.052 0.077 0.05
0.266 3.108 2.171 0.055 0.082 0.067
0.234 3.361 2.331 0.042 0.062 0.038
0.309 3.122 2.309 0.035 0.052 0.025
0.339 3.172 2.303 0.04 0.06 0.028
0.462 2.917 2.225 0.042 0.062 0.027
0.211 3.273 2.323 0.062 0.093 0.059
0.44 3.087 2.283 0.052 0.077 0.078
0.576 2.867 2.442 0.049 0.072 0.049
0.098 3.52 2.228 0.055 0.081 0.054
0.456 2.729 2.068 0.046 0.068 0.15
0.449 2.92 2.267 0.034 0.05 0.033
0.258 3.245 2.315 0.048 0.07 0.027
0.576 2.77 2.229 0.039 0.058 0.057
0.142 3.495 2.066 0.05 0.075 0.115
0.307 3.451 2.327 0.043 0.064 0.055
0.222 3.228 2.181 0.06 0.089 0.063
0.532 2.834 2.086 0.032 0.048 0.117
0.186 3.06 2.127 0.058 0.087 0.116
0.695 2.481 2.208 0.045 0.066 0.125
0.16 3.434 2.282 0.053 0.078 0.046
-0.008 3.4 2.176 0.06 0.089 0.087
0.375 2.924 2.303 0.048 0.072 0.065
0.346 2.937 2.202 0.04 0.059 0.061
0.508 2.775 2.154 0.038 0.057 0.074
0.245 2.983 2.053 0.032 0.048 0.032
0.344 3.176 2.315 0.032 0.048 0.035
0.191 3.132 2.124 0.058 0.087 0.072
0.618 2.835 2.317 0.047 0.07 0.069
-0.102 3.572 2.299 0.032 0.048 0.02
0.36 3.063 2.13 0.051 0.076 0.065
0.245 3.11 2.172 0.04 0.06 0.052
0.151 3.424 2.287 0.061 0.091 0.06
0.175 3.244 2.295 0.062 0.092 0.058
0.306 3.377 2.288 0.032 0.048 0.029
0.081 3.191 2.136 0.032 0.048 0.031
0.321 3.128 2.26 0.054 0.08 0.037
0.37 3.157 2.172 0.056 0.082 0.074
0.213 3.203 2.228 0.05 0.074 0.045
0.215 3.343 2.258 0.055 0.081 0.05
0.436 2.986 2.306 0.051 0.075 0.063
0.111 3.156 2.16 0.032 0.048 0.036
0.611 2.834 2.177 0.047 0.069 0.05
0.585 2.874 2.297 0.046 0.068 0.047
0.443 3.133 2.334 0.037 0.055 0.031
0.453 2.949 2.231 0.054 0.08 0.054
0.158 3.259 2.108 0.053 0.078 0.035
-0.002 3.661 2.417 0.059 0.087 0.035
0.15 3.017 2.061 0.058 0.085 0.1
0.282 3.133 2.276 0.056 0.083 0.035
0.404 2.819 2.073 0.052 0.077 0.146
0.758 2.821 2.321 0.032 0.048 0.043
0.216 3.395 2.393 0.054 0.081 0.041
0.211 3.48 2.33 0.056 0.083 0.061
0.521 2.988 2.345 0.033 0.049 0.028
0.454 3.073 2.261 0.052 0.078 0.05
0.092 3.503 2.211 0.049 0.072 0.044
0.314 3.301 2.411 0.053 0.079 0.042
0.114 3.41 2.347 0.063 0.094 0.061
0.282 2.961 2.095 0.043 0.063 0.059
0.184 3.079 2.227 0.058 0.086 0.099
0.268 3.122 2.051 0.048 0.071 0.085
0.054 3.414 2.161 0.057 0.084 0.104
0.612 2.762 2.068 0.036 0.053 0.087
0.126 3.145 2.16 0.032 0.048 0.077
0.837 2.715 2.407 0.032 0.048 0.028
0.407 3.066 2.402 0.043 0.064 0.063
0.138 3.199 2.083 0.057 0.084 0.044
0.601 2.765 2.251 0.041 0.06 0.038
0.194 3.305 2.257 0.048 0.071 0.053
0.296 3.11 2.21 0.046 0.069 0.035
0.256 3.369 2.135 0.043 0.063 0.033
0.079 3.268 2.098 0.063 0.094 0.086
0.241 3.342 2.32 0.043 0.064 0.038
0.412 2.965 2.149 0.044 0.065 0.065
0.286 3.179 2.131 0.046 0.067 0.054
0.126 3.098 2.189 0.062 0.091 0.112
0.353 3.233 2.364 0.038 0.056 0.022
0.485 3.155 2.36 0.041 0.061 0.077
-0.017 3.412 2.242 0.061 0.091 0.057
0.348 3.097 2.255 0.055 0.082 0.045
0.463 2.843 2.099 0.045 0.066 0.043
0.228 3.282 2.334 0.044 0.065 0.032
0.053 3.187 2.091 0.056 0.083 0.073
0.227 3.293 2.459 0.057 0.084 0.066
0.312 3.396 2.319 0.049 0.072 0.024
0.221 3.045 2.255 0.056 0.083 0.103
0.104 3.52 2.294 0.041 0.06 0.034
0.254 3.147 2.082 0.044 0.065 0.064
0.392 3.157 2.147 0.055 0.081 0.103
0.749 2.829 2.308 0.04 0.059 0.072
0.148 3.26 2.304 0.062 0.092 0.048
0.119 3.44 2.234 0.049 0.072 0.069
0.587 2.884 2.159 0.045 0.067 0.056
0.113 3.06 2.166 0.064 0.096 0.072
0.226 3.372 2.172 0.054 0.079 0.051
0.338 3.309 2.261 0.055 0.081 0.088
0.28 2.986 2.136 0.064 0.095 0.085
0.389 3.077 2.186 0.042 0.063 0.035
0.445 3.161 2.314 0.034 0.051 0.049
0.535 2.851 2.266 0.039 0.058 0.053
0.288 3.289 2.25 0.049 0.072 0.059
0.597 2.897 2.238 0.042 0.063 0.103
0.261 3.054 2.131 0.055 0.081 0.095
0.3 3.237 2.231 0.053 0.078 0.035
0.803 2.803 2.45 0.032 0.048 0.035
0.57 2.906 2.285 0.041 0.061 0.045
0.2 3.389 2.334 0.06 0.089 0.04
0.19 3.384 2.315 0.042 0.062 0.053
0.713 2.729 2.399 0.046 0.068 0.063
0.557 3.035 2.251 0.041 0.06 0.085
-0.145 3.587 2.137 0.063 0.093 0.194
0.164 3.209 2.178 0.057 0.084 0.114
0.405 2.804 2.093 0.056 0.083 0.111
0.596 2.78 2.249 0.046 0.068 0.039
0.411 3.195 2.271 0.045 0.067 0.059
0.296 3.209 2.403 0.057 0.084 0.035
0.655 2.801 2.436 0.042 0.063 0.031
0.077 3.248 2.056 0.062 0.092 0.125
0.222 3.241 2.286 0.059 0.088 0.058
0.125 3.16 2.324 0.062 0.091 0.095
0.09 3.38 2.281 0.063 0.094 0.087
0.348 3.177 2.283 0.045 0.067 0.05
0.319 3.196 2.154 0.058 0.085 0.082
0.176 3.392 2.368 0.062 0.092 0.056
0.341 3.339 2.404 0.032 0.048 0.043
0.063 3.609 2.291 0.054 0.08 0.037
0.101 3.296 2.19 0.057 0.084 0.061
0.094 3.498 2.195 0.061 0.09 0.069
0.263 2.943 2.128 0.059 0.088 0.108
0.431 3.072 2.16 0.051 0.075 0.085
0.388 3.278 2.255 0.039 0.057 0.075
0.752 2.819 2.331 0.035 0.051 0.051
0.348 3.181 2.234 0.043 0.063 0.067
0.23 3.004 2.33 0.059 0.087 0.087
0.276 3.28 2.295 0.052 0.077 0.116
0.535 3.059 2.402 0.038 0.056 0.046
0.878 2.534 2.365 0.032 0.048 0.044
0.651 2.938 2.362 0.038 0.056 0.05
0.335 3.016 2.235 0.06 0.089 0.053
0.634 2.645 2.256 0.043 0.064 0.049
0.287 3.303 2.17 0.043 0.063 0.063
0.049 3.352 2.245 0.061 0.091 0.055
0.348 3.254 2.34 0.036 0.053 0.07
0.163 3.393 2.245 0.061 0.09 0.068
0.33 3.208 2.339 0.032 0.048 0.013
-0.135 3.742 2.386 0.055 0.081 0.035
0.285 3.448 2.322 0.05 0.074 0.028
0.386 3.174 2.228 0.05 0.074 0.097
0.279 3.086 2.134 0.06 0.089 0.134
0.462 2.998 2.252 0.049 0.072 0.066
0.101 3.406 2.362 0.059 0.087 0.1
0.65 2.819 2.205 0.033 0.049 0.068
0.17 3.274 2.378 0.063 0.093 0.049
0.296 3.114 2.297 0.056 0.082 0.058
0.478 3.01 2.229 0.049 0.072 0.062
0.241 3.194 2.407 0.056 0.082 0.065
0.31 3.312 2.305 0.04 0.059 0.041
0.618 2.846 2.341 0.043 0.064 0.036
0.271 3.039 2.165 0.06 0.089 0.068
0.154 3.389 2.229 0.04 0.06 0.028
0.062 3.556 2.361 0.062 0.091 0.055
0.23 3.339 2.311 0.056 0.083 0.035
0.426 2.941 2.373 0.055 0.082 0.067
0.178 3.495 2.271 0.049 0.072 0.108
0.191 3.235 2.293 0.062 0.092 0.049
0.096 3.583 2.133 0.037 0.054 0.03
0.119 3.456 2.206 0.049 0.072 0.114
0.375 2.862 2.1 0.053 0.078 0.123
0.411 2.784 2.069 0.042 0.062 0.096
0.075 3.397 2.182 0.046 0.068 0.057
0.3 3.189 2.098 0.036 0.053 0.059
0.367 3.271 2.42 0.044 0.065 0.032
0.166 3.407 2.337 0.038 0.057 0.036
0.368 3.283 2.361 0.032 0.048 0.019
-0.076 3.599 2.093 0.058 0.086 0.063
0.143 3.438 2.307 0.032 0.048 0.017
0.255 3.005 2.08 0.053 0.079 0.177
0.134 3.517 2.474 0.057 0.084 0.043
0.297 2.989 2.052 0.063 0.094 0.11
0.272 3.21 2.263 0.056 0.083 0.041
0.125 3.361 2.192 0.062 0.091 0.063
0.203 3.313 2.141 0.037 0.055 0.051
0.273 3.12 2.32 0.052 0.076 0.057
0.39 3.15 2.362 0.04 0.059 0.024
0.482 3.133 2.402 0.042 0.062 0.042
0.324 3.069 2.173 0.058 0.086 0.08
0.227 3.22 2.315 0.06 0.089 0.029
0.333 3.026 2.26 0.041 0.061 0.041
-0.053 3.567 2.342 0.032 0.048 0.021
0.502 2.786 2.103 0.043 0.064 0.116
0.936 2.629 2.31 0.032 0.048 0.053
0.334 3.09 2.194 0.045 0.067 0.053
0.138 3.436 2.233 0.057 0.085 0.071
0.098 3.349 2.077 0.045 0.067 0.06
0.535 3.071 2.385 0.04 0.059 0.056
0.542 2.918 2.203 0.045 0.067 0.042
0.379 3.048 2.166 0.036 0.054 0.034
0.043 3.521 2.43 0.06 0.089 0.081
0.749 2.572 2.155 0.034 0.051 0.079
0.255 3.176 2.167 0.058 0.087 0.143
0.403 3.182 2.286 0.053 0.078 0.036
0.554 2.931 2.309 0.049 0.073 0.055
0.167 3.25 2.116 0.042 0.062 0.052
-0.118 3.679 2.3 0.053 0.078 0.028
0.397 3.177 2.11 0.047 0.07 0.12
0.023 3.499 2.259 0.043 0.063 0.044
0.474 3.253 2.39 0.043 0.064 0.027
0.279 3.072 2.351 0.063 0.093 0.066
0.429 3.162 2.408 0.046 0.069 0.041
0.499 3.145 2.396 0.041 0.061 0.03
0.484 3.08 2.342 0.045 0.067 0.028
0.127 3.335 2.155 0.054 0.08 0.109
0.786 2.573 2.205 0.041 0.061 0.058
0.36 3.279 2.332 0.037 0.055 0.068
0.259 3.345 2.264 0.05 0.074 0.032
0.255 3.151 2.158 0.059 0.088 0.145
0.229 3.223 2.339 0.058 0.086 0.041
0.21 3.086 2.051 0.057 0.084 0.189
0.222 3.353 2.314 0.055 0.082 0.032
0.31 3.152 2.343 0.046 0.069 0.063
0.184 3.142 2.196 0.057 0.085 0.093
0.363 3.282 2.452 0.037 0.055 0.065
0.04 3.624 2.156 0.059 0.088 0.063
0.372 2.907 2.173 0.059 0.088 0.062
0.325 2.896 2.157 0.05 0.074 0.084
0.736 2.941 2.469 0.032 0.048 0.018
0.677 2.832 2.302 0.032 0.048 0.048
0.692 2.809 2.376 0.032 0.048 0.024
0.42 3.25 2.388 0.043 0.064 0.032
0.162 3.135 2.16 0.059 0.088 0.128
0.198 3.42 2.261 0.032 0.048 0.022
0.388 2.983 2.27 0.056 0.083 0.075
0.442 3.058 2.318 0.049 0.073 0.027
0.643 2.683 2.262 0.05 0.073 0.047
-0.088 3.632 2.231 0.064 0.095 0.072
0.402 2.848 2.153 0.06 0.09 0.055
0.637 2.885 2.401 0.045 0.067 0.044
0.59 2.887 2.421 0.043 0.063 0.044
0.487 3.042 2.388 0.044 0.066 0.035
0.594 2.732 2.169 0.05 0.074 0.18
0.302 3.092 2.227 0.063 0.093 0.098
0.368 3.099 2.319 0.051 0.076 0.035
0.451 3.016 2.215 0.049 0.072 0.046
0.136 3.375 2.38 0.062 0.092 0.053
-0.043 3.445 2.057 0.056 0.083 0.088
0.215 3.153 2.23 0.064 0.095 0.07
0.122 3.313 2.14 0.056 0.084 0.151
0.326 3.152 2.141 0.053 0.079 0.137
0.611 2.806 2.075 0.048 0.072 0.109
0.494 3.048 2.223 0.036 0.053 0.093
0.388 3.21 2.45 0.052 0.077 0.072
0.232 3.312 2.33 0.05 0.074 0.036
0.057 3.342 2.209 0.062 0.091 0.108
0.748 2.832 2.411 0.035 0.052 0.035
0.405 2.976 2.139 0.049 0.072 0.076
0.148 3.311 2.251 0.06 0.088 0.145
0.241 3.045 2.067 0.057 0.084 0.071
0.198 3.278 2.213 0.064 0.096 0.098
0.349 2.978 2.236 0.057 0.085 0.054
-0.059 3.694 2.331 0.054 0.08 0.08
-0.029 3.617 2.246 0.055 0.082 0.066
0.342 3.134 2.1 0.034 0.051 0.078
0.237 3.384 2.324 0.053 0.079 0.058
0.627 2.542 2.14 0.045 0.067 0.101
0.447 3.117 2.28 0.037 0.055 0.041
0.04 3.517 2.377 0.056 0.083 0.041
0.33 3.143 2.275 0.055 0.081 0.15
0.386 3.238 2.357 0.05 0.075 0.036
0.015 3.306 2.135 0.064 0.096 0.118
0.354 3.019 2.285 0.052 0.077 0.053
0.235 3.138 2.108 0.056 0.084 0.094
0.145 3.066 2.269 0.064 0.095 0.097
0.109 3.508 2.358 0.063 0.093 0.035
0.48 3.253 2.3 0.038 0.057 0.038
0.301 3.145 2.147 0.059 0.087 0.068
0.123 3.321 2.172 0.056 0.083 0.061
0.662 2.869 2.331 0.032 0.048 0.047
0.3 2.882 2.181 0.059 0.087 0.105
0.6 2.764 2.188 0.032 0.048 0.054
0.172 3.349 2.143 0.05 0.074 0.065
0.219 3.333 2.317 0.046 0.069 0.037
0.247 3.316 2.322 0.032 0.048 0.021
0.286 3.155 2.223 0.05 0.074 0.119
0.06 3.545 2.304 0.051 0.076 0.088
0.493 3.156 2.364 0.046 0.068 0.029
0.131 3.352 2.287 0.053 0.079 0.084
0.358 2.84 2.077 0.056 0.082 0.169
0.329 3.196 2.339 0.047 0.069 0.042
0.425 2.995 2.179 0.044 0.065 0.098
0.186 3.295 2.429 0.032 0.048 0.047
0.176 3.049 2.244 0.063 0.093 0.047
0.39 3.157 2.234 0.04 0.059 0.054
0.367 2.999 2.375 0.049 0.072 0.069
0.377 2.902 2.111 0.055 0.081 0.109
0.462 2.899 2.18 0.058 0.086 0.066
0.483 2.955 2.331 0.041 0.061 0.038
0.517 2.879 2.194 0.055 0.082 0.071
0.026 3.439 2.163 0.064 0.095 0.067
0.388 3.313 2.383 0.04 0.06 0.025
0.18 3.326 2.258 0.06 0.089 0.099
0.543 2.613 2.068 0.053 0.079 0.075
0.293 3.266 2.256 0.051 0.076 0.032
0.339 3.107 2.197 0.055 0.081 0.092
0.023 3.488 2.298 0.043 0.063 0.022
-0.104 3.555 2.284 0.064 0.095 0.084
0.314 3.278 2.311 0.045 0.066 0.031
0.39 2.958 2.174 0.053 0.078 0.047
0.474 2.797 2.055 0.056 0.083 0.102
0.621 3.108 2.374 0.032 0.048 0.019
0.383 3.107 2.293 0.05 0.074 0.05
0.266 3.115 2.363 0.061 0.09 0.034
0.215 3.258 2.261 0.056 0.082 0.048
0.224 3 2.232 0.045 0.066 0.044
0.737 2.721 2.319 0.041 0.061 0.035
0.438 3.285 2.383 0.034 0.051 0.019
0.572 2.932 2.34 0.032 0.048 0.026
0.022 3.426 2.301 0.062 0.092 0.06
0.295 3.135 2.403 0.052 0.077 0.066
0.558 2.878 2.228 0.04 0.059 0.036
0.285 3.072 2.279 0.05 0.075 0.039
0.3 3.141 2.197 0.057 0.084 0.076
0.309 3.223 2.429 0.032 0.048 0.023
0.059 3.541 2.359 0.063 0.093 0.058
0.137 3.39 2.276 0.063 0.093 0.05
0.044 3.234 2.086 0.035 0.052 0.051
0.366 3.041 2.252 0.044 0.065 0.049
0.68 2.504 2.216 0.054 0.081 0.093
0.584 2.89 2.365 0.046 0.068 0.044
0.423 3.07 2.382 0.052 0.078 0.045
0.15 3.295 2.245 0.053 0.079 0.054
0.135 3.204 2.228 0.062 0.092 0.06
0.33 3.183 2.295 0.055 0.082 0.041
0.576 3.15 2.402 0.032 0.048 0.028
0.379 3.032 2.247 0.057 0.085 0.04
0.229 3.128 2.303 0.055 0.081 0.057
0.632 2.994 2.333 0.032 0.048 0.032
0.248 3.252 2.326 0.06 0.089 0.064
0.539 3.079 2.358 0.039 0.058 0.051
0.312 3.26 2.285 0.054 0.079 0.063
0.342 3.259 2.307 0.046 0.067 0.046
0.251 3.192 2.315 0.053 0.079 0.039
0.367 3.095 2.266 0.037 0.054 0.026
0.388 3.061 2.107 0.056 0.083 0.096
0.681 2.836 2.348 0.044 0.065 0.032
0.003 3.428 2.139 0.062 0.091 0.062
0.178 3.378 2.322 0.053 0.079 0.035
0.327 3.065 2.24 0.058 0.086 0.092
0.374 3.324 2.344 0.046 0.068 0.027
0.66 2.365 2.234 0.047 0.07 0.105
0.162 3.166 2.098 0.062 0.091 0.12
0.526 2.818 2.111 0.056 0.083 0.106
0.077 3.545 2.301 0.061 0.09 0.076
0.289 3.208 2.34 0.06 0.089 0.044
0.107 3.398 2.238 0.064 0.095 0.081
0.259 3.102 2.175 0.053 0.079 0.115
0.279 3.335 2.281 0.043 0.063 0.037
0.309 3.055 2.318 0.038 0.056 0.076
0.203 3.244 2.295 0.049 0.073 0.056
0.351 3.085 2.185 0.05 0.073 0.092
0.053 3.37 2.054 0.059 0.088 0.048
0.199 3.336 2.215 0.06 0.089 0.045
0.221 3.459 2.319 0.049 0.073 0.047
0.084 3.236 2.287 0.062 0.092 0.051
0.129 3.337 2.36 0.061 0.091 0.063
0.369 3.34 2.349 0.038 0.056 0.026
-0.002 3.172 2.146 0.052 0.076 0.064
0.517 2.707 2.103 0.052 0.076 0.09
0.747 2.836 2.458 0.033 0.048 0.023
0.766 2.865 2.527 0.033 0.049 0.028
0.89 2.48 2.256 0.037 0.054 0.051
-0.109 3.61 2.196 0.063 0.093 0.048
0.121 3.392 2.242 0.063 0.094 0.076
0.314 2.938 2.07 0.057 0.085 0.077
0.774 2.959 2.485 0.032 0.048 0.02
0.653 2.619 2.192 0.041 0.061 0.058
0.469 3.026 2.318 0.042 0.062 0.04
0.267 3.077 2.182 0.064 0.095 0.075
0.524 2.892 2.223 0.043 0.064 0.052
0.088 2.964 2.22 0.061 0.09 0.057
0.484 2.862 2.258 0.048 0.071 0.038
0.775 2.552 2.082 0.041 0.061 0.094
0.348 3.119 2.343 0.034 0.05 0.037
0.373 3.045 2.284 0.055 0.081 0.078
0.664 2.945 2.382 0.032 0.048 0.028
0.329 3.127 2.258 0.055 0.082 0.051
-0.026 3.672 2.158 0.064 0.094 0.059
-0.062 3.592 2.317 0.063 0.093 0.058
0.211 3.154 2.23 0.058 0.086 0.069
0.197 3.235 2.108 0.062 0.093 0.098
0.464 3.1 2.407 0.045 0.066 0.054
0.476 3.021 2.354 0.046 0.068 0.029
0.322 3.288 2.333 0.053 0.078 0.028
0.333 3.243 2.306 0.039 0.057 0.056
0.323 3.245 2.281 0.056 0.083 0.047
0.293 3.245 2.272 0.052 0.077 0.045
-0.033 3.6 2.328 0.06 0.089 0.037
0.34 3.297 2.409 0.042 0.062 0.03
0.808 2.655 2.197 0.034 0.05 0.05
0.322 3.17 2.194 0.048 0.072 0.066
0.353 2.996 2.114 0.049 0.072 0.077
0.101 3.369 2.166 0.06 0.088 0.084
0.381 3.184 2.27 0.036 0.054 0.034
0.064 3.422 2.152 0.052 0.077 0.045
0.402 2.925 2.111 0.064 0.094 0.097
0.427 3.338 2.447 0.032 0.048 0.023
0.354 3.235 2.369 0.048 0.072 0.044
0.363 3.054 2.295 0.05 0.074 0.048
0.292 3.296 2.352 0.054 0.079 0.062
0.118 3.452 2.275 0.039 0.057 0.027
0.103 3.395 2.309 0.051 0.076 0.038
0.228 3.22 2.187 0.047 0.07 0.032
0.283 3.382 2.428 0.036 0.053 0.03
0.092 3.365 2.221 0.052 0.077 0.09
0.26 3.174 2.261 0.059 0.087 0.058
0.424 3.031 2.311 0.053 0.078 0.066
0.271 3.12 2.209 0.057 0.084 0.087
0.08 3.499 2.246 0.062 0.091 0.058
0.533 3.054 2.383 0.032 0.048 0.025
0.111 3.441 2.386 0.062 0.091 0.065
0.58 3.143 2.171 0.036 0.053 0.142
0.451 3.115 2.283 0.033 0.049 0.031
0.208 3.383 2.382 0.053 0.078 0.045
0.418 2.773 2.224 0.06 0.089 0.076
0.484 2.78 2.058 0.043 0.064 0.121
0.732 2.463 2.101 0.038 0.057 0.119
0.19 3.319 2.114 0.061 0.09 0.097
0.329 3.136 2.206 0.059 0.088 0.089
0.182 3.096 2.143 0.057 0.085 0.116
0.42 2.883 2.137 0.058 0.086 0.072
0.455 2.919 2.205 0.04 0.06 0.045
0.439 3.087 2.38 0.049 0.073 0.035
0.24 3.385 2.396 0.051 0.076 0.064
0.549 2.724 2.12 0.043 0.063 0.045
0.329 3.278 2.396 0.038 0.056 0.026
0.079 2.987 2.098 0.058 0.086 0.11
0.082 3.35 2.231 0.055 0.082 0.066
0.687 2.392 2.211 0.054 0.08 0.099
0.423 3.123 2.326 0.048 0.071 0.046
0.551 2.865 2.313 0.04 0.06 0.047
0.296 3.364 2.318 0.046 0.068 0.05
0.188 3.363 2.282 0.059 0.088 0.069
0.166 3.211 2.225 0.059 0.087 0.12
0.316 3.245 2.225 0.032 0.048 0.036
0.416 2.996 2.186 0.055 0.081 0.057
0.511 2.888 2.249 0.055 0.082 0.042
