"N" "Raw" "bias2unbias" "samp2pop" "sampbias2popunbias"
5 2.12442919265469 2.30585944353771 2.74262629444949 2.97685174117222
10 2.58704942622567 2.66895787593092 2.89240918909621 2.98398561983249
20 2.83408418002541 2.87370062352611 2.98738702984365 3.02914642792952
50 2.92329680228852 2.93856091858643 2.98357730513191 2.99915617859208
100 2.97102233085076 2.97861101309718 3.00118576743033 3.00885149411136
