"N" "Raw" "bias2unbias" "samp2pop" "sampbias2popunbias"
5 2.80004139409321 3.03917019837139 3.61483789600479 3.92355185486076
10 2.9223240742359 3.0148476387378 3.26725764113781 3.37070213101123
20 2.9295825428651 2.97053391689558 3.08805114297386 3.13121768139045
50 2.98006647702384 2.99562701854847 3.04151761178412 3.05739902297442
100 3.00143577057044 3.00910213581765 3.03190798095176 3.03965217931369
