"N" "Raw" "bias2unbias" "samp2pop" "sampbias2popunbias"
5 2.54829636041411 2.71099509643274 2.84908194435063 3.0309846611461
10 2.78704112394628 2.86538276876377 2.93779929474196 3.02037863916436
20 2.86167478715187 2.8995596579388 2.93601638232571 2.97488543962465
50 2.95065158890491 2.96574335325743 2.98060821061932 2.9958531947818
100 2.97747492244666 2.98500317187354 2.99247489104488 3.00004106640161
